的	白勹丶󰁶
一	一一〇〇
是	日一󰁾󰁧
在	丨土󰀌
不	丆卜󰀦
了	了乛亅
有	月󰀘
和	禾口󰀝
人	人人人人
这	文辶󰀦
中	口丨󰀵
大	大大大大
上	󰀥一󰀌
为	丶丿𠃌丶
个	人丨󰀬
过	寸辶󰀦
国	囗王丶󰀦
我	丿扌󰅅丶
以	󰁐丶人󰁶
地	土也󰁀
他	亻也󰁀
要	覀女󰀘
来	一米󰀦
们	亻门󰁀
时	日寸󰁶
到	一厶土刂
生	丿主󰀌
用	月丨󰀵
作	亻𠂉丨二
就	亠口小丶
出	凵山󰀵
于	一󰀛󰀵
会	人二厶󰁧
对	又寸󰁶
分	八刀󰁣
成	厂𠃌󰅅丶
年	󰅎丨十󰀵
可	丁口󰀌
同	冂一口󰀌
主	丶王󰀌
也	也𠃌丨乚
发	ㄥ丿又丶
工	工工工工
说	讠丷口儿
子	子子子子
下	一卜󰀦
能	厶月匕匕
动	二厶力ノ
行	彳一丁󰀢
产	立丿󰀏
而	丆冂〢󰀬
多	夕夕󰁧
后	⺁一口󰀌
方	方丶一丿
面	丆冂〢三
种	禾口丨󰀢
学	󰀧冖子󰀘
著	艹土丿日
着	䒑󰀠目󰀘
得	彳日一寸
定	宀一󰁾󰁧
法	氵土厶󰁶
民	󰁃󰁐弋󰁫
所	⺁󰁃斤󰀢
经	纟ス工󰀝
十	十一丨
三	三一一一
之	之之之之
进	二󰀯辶󰀵
家	宀一󰀓󰁧
等	⺮土寸󰁧
部	立口阝󰀢
里	日土󰀌
都	土丿日阝
自	丿目󰀌
二	二一一
如	女口󰀝
理	王日土󰀝
起	土󰁾己󰁫
力	力𠃌丿
长	丿七󰂃󰀦
化	亻ヒ󰁀
现	王ㄇ󰁜󰁀
小	小亅丿丶
度	广廿又󰀦
实	宀󰁦大󰁧
点	󰀥口灬󰁧
高	亠口冂口
还	丆卜辶󰀦
当	⺌彐󰀘
电	日乚󰁫
加	力口󰀝
两	一冂人人
从	人人󰁶
去	土厶󰁧
物	牜勹󰁤ノ
把	扌巴󰁀
本	木一󰀌
好	女子󰀝
水	水水水水
制	󰅎冂丨刂
体	亻木一󰀝
开	一廾󰀵
业	󰅊一󰀌
重	丿一日土
使	亻一口乂
天	一大󰀦
然	󰁝大丶灬
些	止匕二󰀘
量	日一日土
前	䒑月刂󰀬
四	四丨󰁈一
那	𠃌󰀠阝󰀢
外	夕卜󰁶
事	一口󰁬亅
它	宀匕󰀅
名	夕口󰀘
合	人一口󰀘
因	囗大󰀦
应	广󰀧一󰀌
由	由丨󰁈一
其	艹三八󰁧
日	日日日日
性	忄丿主󰀝
社	礻󰁶土󰀝
义	丶乂󰀦
全	人王󰀘
样	木䒑󰀟󰀢
政	一止夂󰁶
