礼	二小乚󰁀
邟	亠几阝󰀢
溥	氵一月寸
娘	女丶彐󰀖
肟	月二ㄅ󰁀
癤	疒⺮󰁮卩
亥	亠ㄥ丿人
㨘	扌小丿目
遟	尸辛辶󰀵
幥	冂丨⺌手
橘	木󰁻乛口
皤	白丿米田
蚤	又丶虫󰁧
㩘	扌丷王丶
乥	丿丷乙󰀅
馘	䒑丿目󰀞
覘	󰀥口目儿
痤	疒人人土
感	厂一口心
妘	女二厶󰁶
严	一󰅊厂󰁣
㦘	白方攵心
駘	󰀋灬厶口
烟	火囗大󰁶
蘤	艹白爫灬
姘	女䒑廾󰀢
惟	忄亻󰁷󰀝
㷥	火火了一
䃟	石󰁺月攵
㾥	疒上小又
坤	土日丨󰀢
侥	亻弋丿儿
礘	石曰幺灬
杤	木一󰁡󰁥
龥	人一口貝
蝤	虫丷西一
㥘	忄土厶丶
䅟	禾厶大彡
垤	土一厶土
枤	木犬󰁶
瞤	目門王󰀝
螤	文虫曰人
酟	西一󰀥口
囤	囗一凵乚
伥	亻丿七󰂃
㢘	广䒑󰁬灬
题	日一󰁾贝
舟	丿󰁪󰀦
缥	纟覀二小
戟	十日十戈
以	󰁐丶人󰁶
廥	广人一日
㜤	女覀早󰀢
軥	車勹口󰀝
黥	󰀹土灬小
滥	氵〢𠂉皿
營	火火冖口
埘	土日寸󰁶
挫	扌人人土
㾙	疒乂丨
䠤	口止口十
龙	ヒ丶󰀦
𠂇	一丿
猫	犭ノ艹田
辙	车亠厶夂
柤	木󰀐一󰀝
埤	土白丿十
俙	亻乂丨
㿙	疒罒罒大
鍫	禾火金󰀘
这	文辶󰀦
矤	弓𠂉大󰁶
㡘	冂丨䒑八
䡘	車勹田󰀝
塘	土广󰁬口
桘	木丿󰃧󰀝
碤	石艹ㄇ大
袤	亠󰁻乛󰀔
颤	亠囗口贝
䡤	土丿日車
㡤	冂丨业未
桤	木山己󰁀
堘	土丷夫土
衤	衤󰁧丶丶
砘	石一凵乚
鋫	禾刂金󰀘
㛘	女十冖子
溙	氵三人氺
盘	丿󰁪皿󰀘
䈫	⺮糹冂人
庙	广由󰀌
舫	丿󰁪方ノ
鈫	釒文󰁶
㚘	夫夫󰁶
磤	石⺁彐又
棤	木󰁺日󰀝
嚘	口丆󰀐夂
䉫	⺮禾勹氺
隘	阝䒑八皿
裤	衤󰁧广车
㼙	冂丨一丶
伙	亻火󰁶
冫	冫丶󰀞
憫	忄門文󰁶
缙	纟一󰅊日
蝘	虫匚曰女
馤	禾日曰󰄃
㜘	女虍󰀐一
凫	勹丶ㄅ几
余	人一木󰁧
燫	火广䒑八
朘	月厶八夂
霘	󰀙氵冂口
蜘	虫𠂉大口
闘	門一口寸
焫	火艹冂人
脫	月八口儿
嶙	山米夕丨
涙	氵丶尸大
㗘	口甫寸󰁶
䨤	󰀙由辶󰁧
﨤	乃󰂃辶󰀦
鷙	土䒑十灬
腫	月丿一土
秤	禾一丷十
槤	木車辶󰁶
巙	山䒑丿夂
䧤	阝业䒑夫
㷙	火䒑月刂
陘	阝一巛工
噘	口厂䒑人
檤	木䒑丿辶
窤	宀八曰󰁴
肫	月一凵乚
㪤	日艹󰀟攵
䪤	丨三丨田
𡗗	三人󰀦
阘	门曰羽󰀌
惫	夂田心󰁧
嘘	口󰅋七一
蘘	艹亠口󰀔
烫	氵ㄋ󰁤火
乙	乙乙〇〇
㹙	牜火火目
蓘	艹六厶󰀔
鬤	󰂞彡亠󰀔
擘	尸口立手
笤	⺮刀口󰀘
䬤	尸人丶艮
哘	口彳一丁
㓘	几一夕丶
髤	󰂞彡木󰁧
聫	耳幺幺大
糙	米丿土辶
撘	扌⺮人口
咘	口冂丨
䫤	冖日六貝
㒘	亻匚丨立
殤	一夕𠂉󰁤
畘	田冂土󰀝
认	讠人󰁶
鴙	𠂉大󰁟灬
㕘	厶厶厶小
䕘	艹人丶貝
室	宀一厶土
甘	艹二󰀌
浙	氵扌斤󰀢
锘	钅艹口
蔘	艹厶厶彡
㭤	木󰁠一󰀝
孤	孑⺁厶󰂃
䵙	禾人氺夕
鏘	釒爿󰁝寸
珘	王丿󰁪󰁶
菘	艹木八厶
宙	宀由󰀘
末	一木󰀦
㜫	女彳山攵
䏘	月匚儿󰁀
鎘	釒一口丨
诤	讠⺈󰁬亅
睫	目一󰁬󰁾
毙	󰁴匕一匕
寤	宀󰄃丨口
䯙	󰀾月甫󰁶
㯙	木亠厶攵
粤	丿囗米ㄅ
蚫	虫勹巳󰁀
鲤	󰁢󰀞日土
㑘	亻戈廾󰀢
䑘	臼⺶工󰀝
员	口贝󰁧
氙	󰅎⺄山󰀬
萘	艹大二小
籙	⺮釒󰁭氺
鐘	釒立曰土
䱙	󰁢灬上又
㱤	一夕木斤
曫	言糹糹日
