偎	亻田一󰀖
绽	纟宀一󰁾
梏	木丿土口
颏	亠ㄥ丿贝
冗	冖几󰀅
份	亻八刀
悟	忄五口󰀝
噤	口木木小
肟	月二ㄅ󰁀
纥	纟𠂉乙󰁀
鼬	臼󰁐󰁦由
亥	亠ㄥ丿人
渴	氵日勹󰄃
愣	忄罒方
薇	艹彳山夂
文	文丶一󰂃
临	〢𠂉丶󰀱
医	匚𠂉大󰀦
鄣	立早阝󰀢
曼	日罒又󰁧
炎	火火󰁧
橐	一口丨木
伽	亻力口
们	亻门󰁀
皤	白丿米田
蚤	又丶虫󰁧
荻	艹犭ノ火
捻	扌人丶心
镇	钅十󰀣八
汀	氵丁󰀢
籀	⺮扌󰁚田
巴	巴󰁈丨乚
酣	西一艹二
澈	氵亠厶夂
夏	丆目夂󰁧
侈	亻夕夕󰁶
载	十戈车
郎	丶彐厶阝
胎	月厶口󰀝
藤	艹月䒑氺
痤	疒人人土
感	厂一口心
嗤	口凵丨虫
箐	⺮主月󰀘
抻	扌日丨󰀢
隳	阝工⺗
麴	木人人米
患	口口丨心
螬	虫一ㄇ日
彭	士口䒑彡
傣	亻三人氺
那	刀二阝󰀢
吇	口子󰀝
徽	彳山一夂
靼	廿󰀜曰一
蝼	虫米女󰀝
羽	羽𠃌丶󰀞
杼	木󰁻乛亅
瘤	疒󰁚丶田
嘤	口贝贝女
様	木丷王水
狻	犭ノ厶夂
苻	艹亻寸󰁧
蛳	虫リ一丨
睬	目爫木󰁶
曳	日󰅅󰀏
徭	彳爫󰅎山
淀	氵宀一󰁾
年	󰅎丨十󰀵
菇	艹女古󰀘
椐	木尸古󰀝
忽	勹󰁤心󰁧
格	木夂口󰀝
砼	石人工󰀝
蠼	虫目目又
芗	艹󰁲丿󰁣
坤	土日丨󰀢
侥	亻弋丿儿
熟	󰁸孑九灬
蝤	虫丷西一
嘻	口士口口
忭	忄亠卜󰁶
砬	石立󰀝
瀣	氵󰀥夕一
鬈	󰂞彡丷⺋
俭	亻人一一
阻	阝󰀐一󰀝
冏	冂八口󰀌
膏	󰁸冖口月
熏	丿一󰀹灬
孀	女󰀙木目
扇	丶尸羽󰀌
佥	人一󰀧一
垤	土一厶土
噻	口宀󰀀土
柬	一󰀹󰅇󰀦
片	丿丨一󰁈
恣	冫⺈人心
魈	白󰁜厶月
虻	虫亠󰄃󰁀
登	癶一口䒑
骐	󰀊󰀞艹八
檐	木⺈厂言
囤	囗一凵乚
伥	亻丿七󰂃
袼	衤󰁧夂口
题	日一󰁾贝
蛤	虫人一口
碘	石ㄇ󰁺八
戟	十日十戈
喻	口人一刂
疳	疒艹二󰀌
锇	钅丿扌丶
骈	󰀊󰀞䒑廾
箴	⺮厂一丶
喳	口木日一
戏	又戈󰁶
胗	月人彡ノ
郗	乂冂阝
哇	口土土󰀝
以	󰁐丶人󰁶
顼	王丆贝󰁶
硼	石月月󰀝
裘	一氺丶󰀔
黥	󰀹土灬小
滥	氵〢𠂉皿
绥	纟爫女󰀝
闳	门厶󰀦
衬	衤󰁧寸󰁶
硬	石一日乂
量	日一日土
藻	艹氵口木
减	冫厂一丶
闻	门耳󰀌
礼	礻󰁶乚󰁀
破	石󰅌又󰁶
师	リ一冂丨
丈	󰂃󰀦
率	亠ㄠ󰀪十
掇	扌又又又
随	阝月辶
埘	土日寸󰁶
申	日丨󰀵
言	言言言言
螗	虫广󰁬口
