⺁	⺁丿丿
⺄	⺄⺄〇〇
⺈	⺈丿乛
⺋	⺋𠃌乚
⺌	⺌丨丶丿
⺗	⺗亅丿丶
⺧	丿土󰀌
⺪	乛止󰀌
⺮	⺮丿一丶
⺳	冖丿󰁏󰀅
⺶	⺶丶丿丿
⺷	丷王󰀘
⺻	󰁬丨一󰀌
⻊	口止󰀘
㐀	丨一󰀥一
㐁	一囗人󰀦
㐂	七七七󰀅
㐃	囗丨󰀵
㐄	㐄一ㄥ丨
㐅	乂丿丶
㐆	⺁彐𠃌󰁫
㐇	九乙󰀅
㐈	丿󰂃乙󰀅
㐉	丁乙󰀅
㐊	士乙󰀅
㐋	土乙󰀅
㐌	𠂉也󰀅
㐍	爫乙󰀅
㐎	文乙󰀅
㐏	五乙󰀅
㐐	女又乙󰀅
㐑	夂󰁦乙󰀅
㐒	刀口乙󰀅
㐓	丁口乙󰀅
㐔	󰁸乙󰀅
㐕	由乙󰀅
㐖	士口乚󰁀
㐗	土丿匕乙
㐘	米乙󰀅
㐙	一口䒑乙
㐚	五口乙󰀅
㐛	亻口乙
㐜	一氺丶九
㐝	扌勹口乙
㐞	󰀎八乙󰀅
㐟	丨三丨乙
㐠	爫孑乚乙
㐡	九丆冂大
㐢	氵爫子乙
㐣	广車乙󰁫
㐤	九十󰀣八
㐥	釒󰀐󰀞乙
㐦	󰀗一󰁕乙
㐧	丶乛亅丿
㐨	󰁻乛亅亅
㐩	二󰀯二󰀯
㐪	一凵人󰀦
㐫	亠乂凵󰀬
㐬	亠厶󰀸󰀅
㐭	亠囗口󰀘
㐮	六󰀀󰀔󰁧
㐯	󰁸口禾日
㐰	亻口󰀝
㐱	人彡󰁣
㐲	亻大󰁶
㐳	亻一儿󰁀
㐴	亻夕󰁶
㐵	亻一󰀛󰀢
㐶	亻巳󰁀
㐷	亻󰀊一󰀝
㐸	亻⺈人󰁶
㐹	亻气󰁀
㐺	亻亻人󰁶
㐻	亻冂人󰁶
㐼	亻丿廾󰀢
㐽	亻几乂󰁶
㐾	亻二儿󰁀
㐿	亻手󰀢
㑀	亻大丶󰁶
㑁	亻凵山󰀢
㑂	亻一冂人
㑃	亻幺力󰁥
㑄	亻母󰁶
㑅	亻𠂉上󰀝
㑆	亻口儿󰁀
㑇	亻⺈彐󰀝
㑈	亻󰀂小󰁶
㑉	亻几一夕
㑊	亻亠󰁖󰁶
㑋	亻ㄇ󰁺󰀝
㑌	亻匚王󰀝
㑍	亻二木󰁶
㑎	亻巛山󰀢
㑏	亻宀寸󰁶
㑐	亻上小󰁶
㑑	亻丿目󰀝
㑒	人一口人
㑓	亻厶又
㑔	亻丆贝󰁶
㑕	亻山夕󰁶
㑖	亻亻口丨
㑗	亻丿󰀽丿
㑘	亻戈廾󰀢
㑙	亻耳乚󰁀
㑚	亻𠃌󰀠阝
㑛	亻木口󰀝
㑜	亻扌斤󰀢
㑝	亻王廾󰀢
㑞	亻火廾󰀢
㑟	亻丘八󰁶
㑠	亻〢又土
㑡	亻󰁮卩󰀢
㑢	亻土厶卩
㑣	亻木木󰁶
㑤	亻艹田󰀝
㑥	亻日勹󰁤
㑦	亻丶尸犬
㑧	亻禾子󰀝
㑨	亻口𠂉大
㑩	亻罒夕󰁶
㑪	亻文󰀳󰀝
㑫	亻人丶心
㑬	亻女古󰀝
㑭	亻田一󰀯
㑮	亻冖車󰀢
㑯	亻丆貝󰁶
㑰	亻彑󰀓󰁶
㑱	亻󰁻乛木
㑲	亻十冂十
㑳	亻勹凵丿
