偎	亻田一フノㄟ
眼	目艮
梏	木口
喇	口束刂
除	阝人余下
份	亻八刀
晤	日五口
庥	广亻木
肟	月亏
炟	火日一
鼬	臼フ丶丶フ丶丶フ由
亥	亠フノ人
渴	氵日勹人フ
愣	忄罒方
谀	讠臾
文	亠乂
临	丨丨ノ一丶丨フ丨一
医	匚矢
鄣	立日十阝
曼	日罒又
盼	目八刀
局	尸フ口
伽	亻力口
们	亻门
皤	白ノ米田
蚤	叉虫
荻	艹犭火
捻	扌人丶フ心
镇	钅十具上八
汀	氵丁
籀	扌ノフ丶刀田
巴	巳丨
酣	酉甘
澈	氵亠厶月攵
夏	一自夂
侈	亻夕夕
载	十戈车
郎	丶即左阝
胎	月厶口
藤	艹月氺
痤	疒人人土
吗	口马
嗤	口フ丨丨一虫
严	亚ノ
抻	扌申
纴	纟壬
隳	阝工月人
患	串心
轭	车厂フフ
彭	士口丷一ノノノ
傣	亻寿上ㄟ氺
那	フ一一ノ阝
琇	王禾乃
坼	土斥
靼	革日一
辽	辶了
羽	习习
杼	木フ丨
烟	火囗大
姘	女丷开
受	ノ⺍冖又
毐	士毋
诐	讠フノ丨又
狻	犭厶八夂
苻	艹亻寸
蛳	虫丨ノ一巾
睬	目ノ⺍木
曳	丨フ一一フノ
徭	彳ノ⺍缶
淀	氵宀一丨一人
年	ノ一一丨一丨
菇	艹女十口
抗	扌亠几
忽	勿心
格	木夂口
砼	石人工
追	辶ノ㠯
芗	艹乡
坤	土申
侥	亻一フノ兀
熟	亠口子丸灬
澥	氵用刀牛
蝤	虫丷酉
阳	阝日
忭	忄卞
瘳	疒习习人ノノノ
迭	辶失
鬈	一丨一二厶ノノノフフ
俭	亻人一⺍一
阻	阝且
膏	亠口冖口月
笈	及
埼	土大丁口
孀	女雨木目
扇	户习习
佥	人一⺍一
垤	土一厶土
韬	韦ノ⺍臼
柬	一丨フ丶ノ一丨ノㄟ
片	ノ丨一フ
恣	冫人心
酏	酉也
虻	虫亡
登	フ丶ノノㄟ一口丷一
骐	马其上八
唇	厂二フノㄟ口
囤	囗屯
伥	亻长
袼	衤夂口
题	日一丨一人一ノ冂人
舟	ノノフ丶一丶
碘	石丨フ一丨丨一八
戟	十日十戈
宴	宀日女
疳	疒甘
锇	钅我
骈	马丷开
箴	戌口
窈	宀八幺力
戏	又戈
胗	月人ノノノ
郗	乂巾阝
哇	口土土
以	フ丶人
顼	王一ノ冂人
硼	石月月
裘	求亠𧘇
飘	西二小几乂
棘	一丨フ丨ノㄟ一丨フ丨ノㄟ
绥	纟ノ⺍女
闳	门厶
衬	衤寸
旻	日文
蓇	艹骨
鳀	鱼日一丨一人
塬	土厂白小
减	冫戌口
闻	门耳
礼	礻フ
破	石フノ丨又
俵	亻𧘇
丈	一ノㄟ
率	亠幺冫ノ丶十
掇	扌又又又又
夼	大川
徙	彳止丨一人
柘	木石
言	亠一一口
龙	匕丶
林	木木
茫	艹氵亡
裼	衤日勿
柴	止匕木
养	ㄟノ丨
晏	日宀女
虏	虍力
婀	女阝丁口
枘	木内
忙	忄亡
荇	艹彳亍
蝗	虫白王
这	辶文
翙	山夕习习
列	歹刂
戗	人フフ戈
馐	饣丑
傻	亻ノ囗乂八夂
悻	忄土丷干
炻	火石
霏	雨非
邻	人丶阝
消	氵月
咳	口亠フノ人
劫	土厶力
披	扌フノ丨又
简	门日
钳	钅甘
芫	艹二儿
颤	亠囗口日一一ノ冂人
姐	女且
槐	木鬼
觐	廿丨フ一一一丨一冂见下
祼	礻果
楼	木米女
凇	冫木八厶
桴	木ノ⺍子
蛏	虫又土
雏	彐亻亠
饼	饣丷开
盏	戋皿
哳	口扌斤
桤	木山己
诀	讠夬guài
采	ノ⺍木
苫	艹丨一口
铳	钅亠厶儿
伐	亻戈
娼	女日日
稼	禾宀豕
领	人丶一ノ冂人
袆	衤韦
梆	木寿上阝
椤	木罒夕
贴	冂人丨一口
吻	口勿
别	口力刂
颗	果一ノ冂人
袗	衤人ノノノ
舫	舟方
梗	木更
琳	王木木
佐	亻工
坏	土不
杏	木口
逅	辶ノノ一口
者	耂日
框	木匚王
味	口未
给	纟人一口
扫	扌彐
借	亻艹一日
仙	亻山
肖	月
齐	文ノ丨
悖	忄十冖子
硗	石一フノ兀
葳	艹戌女
栏	木丷三
窀	宀八屯
指	扌匕日
骀	马厶口
骼	骨夂口
伙	亻火
玳	王亻弋
玻	王フノ丨又
趴	八
鼙	士口丷一十又ノ丨フ一一ノ十
莳	艹日寸
朗	丶即左月
蜗	虫口内
埏	土亻一フ廴
柏	木白
勇	用力
拇	扌母
苇	艹韦
