吖 口丷丨
啊 口阝丁口
锕 钅阝丁口
阿 阝丁口
嗄 口一自夂
埃 土厶矢
挨 扌厶矢
哎 口艹乂
唉 口厶矢
锿 钅亠口󰀔󰀔
哀 亠口󰀔󰀔
捱 扌厂土土
皑 白山己
癌 疒口口口山
蔼 艹讠日匃
霭 雨讠日匃
嗳 口爫冖又
矮 矢禾女
瑷 王爫冖又
艾 艹乂
砹 石艹乂
碍 石日一寸
嗌 口ㄥ八皿
暧 日爫冖又
爱 爫冖又
隘 阝ㄥ八皿
嫒 女爫冖又
鞍 革宀女
桉 木宀女
鹌 大日鸟
氨 气宀女
谙 讠立日
庵 广大日乚
安 宀女
闇 門立日
埯 土大日乚
揞 扌立日
俺 亻大日乚
铵 钅宀女
按 扌宀女
暗 日立日
黯 󰀹土灬立日
岸 山厂一十
胺 月宀女
犴 犭一十
案 宀女木
肮 月亠几
昂 日󰁚卩
盎 冂大皿
坳 土ㄥ厶力
凹 丨󰁎丨一
聱 攵耳
獒 攵大丶
螯 攵虫
鳌 攵鱼
熬 攵灬
敖 攵
嗷 口攵
翱 白大十习习
廒 广力攵
鏖 鹿金
遨 辶攵
拗 扌ㄥ厶力
袄 衤ノ大
媪 女日皿
鏊 攵金
骜 攵马
岙 ノ大山
傲 亻攵
奥 米大
懊 忄米大
澳 氵米大
捌扌口力刂
扒 扌八
芭 艹巴
叭 口八
吧 口巴
岜 山巴
笆 ⺮巴
八 八
疤 疒巴
粑 米巴
巴 巴
拔 扌又丶
菝 艹扌又丶
茇 艹又丶
跋 ⻊又丶
魃 鬼又丶
把 扌巴
靶 革巴
钯 钅巴
坝 土贝
霸 雨革月
罢 罒土厶
爸 八乂巴
鲅 鱼又丶
灞 氵雨革月
掰 八刀手
白 白
百 一白
摆 扌罒土厶
捭 扌󰅄十
柏 木白
佰亻一白
呗 口贝
败 贝攵
拜 一丰
稗 禾󰅄十
斑 王文王
班 王𠃌王
扳 扌⺁又
搬 扌舟殳
颁 八刀页
般 舟殳
癍 疒王文王
瘢 疒舟殳
坂 士⺁又
板 木⺁又
版 片⺁又
钣 钅⺁又
舨 舟⺁又
阪 阝⺁又
扮 扌八刀
拌 扌半
伴 亻半
瓣 辛瓜辛
半 半
办 力八
绊 纟半
帮 阝巾
邦 阝
梆 木阝
浜 氵丘八
榜 木亠丷冖方
膀 月亠丷冖方
绑 纟阝
蒡 艹亠丷冖方
棒 木
磅 石亠丷冖方
蚌 虫丰
傍 亻亠丷冖方
镑 钅亠丷冖方
谤 讠亠丷冖方
苞 艹包
龅 齿包
煲 亻口木火
胞 月包
勹 勹
包 包
褒 亠亻口木󰀔󰀔
孢 子包
雹 雨包
葆 艹亻口木
堡 亻口木土
保 亻口木
饱 饣包
鸨 匕十鸟
宝 宀玉
褓 衤亻口木
抱 扌包
报 扌卩又
趵 ⻊勹丶
暴 日󰁺八氺
豹 豸勹丶
鲍 鱼包
爆 火日󰁺八氺
杯 木不
碑 石󰅄十
盃 不皿
悲 非心
鹎 󰅄十鸟
卑 󰅄十
陂 阝皮
喺 口亻ノ糸
北 匕
蓓 艹亻立口
鞴 革艹
碚 石立口
辈 非车
贝 贝
倍 亻立口
钡 钅贝
狈 犭贝
惫 夂田心
备 夂田
背 匕月
邶 󰁴阝
悖 忄十冖子
焙 火立口
褙 衤匕月
被 衤皮
鐾 尸口辛金
贲 十艹贝
奔 大十廾
锛 钅大十廾
苯 艹木一
本 木一
畚 厶大田
笨 ⺮木一
坌 八刀土
嘣 口山月月
崩 山月月
绷 纟月月
甭 不用
甏 士口ㄥ彡一乙丶
泵 石水
蹦 ⻊山月月
迸 辶ㄥ廾
逼 辶一口田
屄 尸穴
荸 艹十冖子
鼻 自田一
鄙 口十囗口阝
吡 口󰁴匕
笔 ⺮毛
秕 禾󰁴匕
俾 亻󰅄十
彼 彳皮
舭 舟󰁴匕
比 󰁴匕
匕 匕
妣 女󰁴匕
碧 王白石
蔽 艹氺冂攵
萆 艹󰅄十
蓖 艹󰅉乂󰁴匕
荜 艹󰁴匕十
巰 艹尸口辛
哔 口󰁴匕十
跸 ⻊󰁴匕十
畀 田一
弊 氺冂攵廾
敝 氺冂攵
髀 骨󰅄十
箅 ⺮田一
币 ノ巾
篦 ⺮󰅉乂󰁴匕
筚 ⺮󰁴匕十
铋 钅心丿
狴 犭󰁴匕土
